year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name,pitcher_break_z_induced,pitcher_break_x
2022,"Rodón, Carlos",95.5,FF,4-Seam Fastball,18.1,6
2022,"Burnes, Corbin",95.1,FC,Cutter,11.4,4.4
2022,"Cole, Gerrit",97.8,FF,4-Seam Fastball,18.3,10.4
2022,"Gilbert, Logan",96.1,FF,4-Seam Fastball,17.8,6.4
2022,"McKenzie, Triston",92.5,FF,4-Seam Fastball,20.5,3
2022,"Pivetta, Nick",93.4,FF,4-Seam Fastball,20.6,5.1
2022,"Javier, Cristian",93.8,FF,4-Seam Fastball,19,7.3
2022,"Strider, Spencer",98.2,FF,4-Seam Fastball,17.7,5.1
2022,"Valdez, Framber",93.9,SI,Sinker,7,14.3
2022,"Ryan, Joe",92,FF,4-Seam Fastball,14.8,10.7
2022,"Gallen, Zac",94.1,FF,4-Seam Fastball,17.6,3.4
2022,"Urquidy, José",93.5,FF,4-Seam Fastball,19.8,7.7
2022,"Gausman, Kevin",95,FF,4-Seam Fastball,17.4,10.5
2022,"Cease, Dylan",87.4,SL,Slider,0.6,4
2022,"Verlander, Justin",95,FF,4-Seam Fastball,19.2,9.5
2022,"Giolito, Lucas",92.6,FF,4-Seam Fastball,18,5.4
2022,"Snell, Blake",95.8,FF,4-Seam Fastball,18.8,5.2
2022,"Urías, Julio",93.1,FF,4-Seam Fastball,16.6,3
2022,"Singer, Brady",93.8,SI,Sinker,10.4,14.9
2022,"Cease, Dylan",96.8,FF,4-Seam Fastball,18.9,3
2022,"Kopech, Michael",94.9,FF,4-Seam Fastball,18.7,9.9
2022,"Corbin, Patrick",92.8,SI,Sinker,12,14
2022,"Ray, Robbie",93.4,FF,4-Seam Fastball,18.1,6.7
2022,"Lauer, Eric",93.3,FF,4-Seam Fastball,16.9,9.7
2022,"Greene, Hunter",98.9,FF,4-Seam Fastball,16,11.7
2022,"Cortes, Nestor",91.8,FF,4-Seam Fastball,19.5,4.5
2022,"Steele, Justin",92.2,FF,4-Seam Fastball,12.6,1.6
2022,"Bubic, Kris",91.9,FF,4-Seam Fastball,16.5,7.7
2022,"Ray, Robbie",87.2,SL,Slider,7.6,1.5
2022,"López, Pablo",93.6,FF,4-Seam Fastball,13.3,4.5
2022,"Manaea, Sean",91.4,FF,4-Seam Fastball,13.1,12.1
2022,"Quantrill, Cal",93.5,SI,Sinker,14.6,12.4
2022,"Morton, Charlie",81.3,CU,Curveball,-9.4,15.5
2022,"Mahle, Tyler",93.2,FF,4-Seam Fastball,18.1,10.2
2022,"Pérez, Martín",92.6,SI,Sinker,10.2,16.3
2022,"Kaprielian, James",94,FF,4-Seam Fastball,15.6,7.6
2022,"Manoah, Alek",93.9,FF,4-Seam Fastball,16.9,5.5
2022,"Lynch IV, Daniel",94,FF,4-Seam Fastball,15.6,6.9
2022,"Quantrill, Cal",88.5,FC,Cutter,7,2.7
2022,"Garcia, Luis",94,FF,4-Seam Fastball,18.1,7.5
2022,"López, Pablo",87.5,CH,Changeup,3.5,17.3
2022,"Cobb, Alex",89.6,FS,Split-Finger,1.9,13
2022,"Gray, Jon",95.9,FF,4-Seam Fastball,12.7,11.3
2022,"Suárez, Ranger",92.5,SI,Sinker,6.5,16
2022,"Rogers, Trevor",94.6,FF,4-Seam Fastball,14.2,12.6
2022,"Anderson, Tyler",90.7,FF,4-Seam Fastball,17.6,7.8
2022,"Nola, Aaron",92.8,FF,4-Seam Fastball,15.4,13.1
2022,"Dunning, Dane",89.5,SI,Sinker,5.6,15.6
2022,"Cobb, Alex",94.8,SI,Sinker,9,15.8
2022,"Wood, Alex",92.4,SI,Sinker,10.5,15.6
2022,"Brubaker, JT",93.1,SI,Sinker,10,16.1
