year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name,pitcher_break_z_induced,pitcher_break_x
2023,"Strider, Spencer",97.2,FF,4-Seam Fastball,18.4,6
2023,"Cole, Gerrit",96.7,FF,4-Seam Fastball,17.4,8.4
2023,"Burnes, Corbin",94.4,FC,Cutter,11.2,3.1
2023,"Steele, Justin",91.8,FF,4-Seam Fastball,10.8,1.3
2023,"Javier, Cristian",92.8,FF,4-Seam Fastball,18.6,5.6
2023,"Gallen, Zac",93.5,FF,4-Seam Fastball,17,3
2023,"Gausman, Kevin",94.7,FF,4-Seam Fastball,16.9,10.6
2023,"Snell, Blake",95.5,FF,4-Seam Fastball,18.8,4.6
2023,"Ryan, Joe",92.3,FF,4-Seam Fastball,14.6,10.3
2023,"Heaney, Andrew",92.5,FF,4-Seam Fastball,13.9,15.9
2023,"Kopech, Michael",95.2,FF,4-Seam Fastball,17.2,9
2023,"Gore, MacKenzie",95,FF,4-Seam Fastball,17.4,4.2
2023,"Peralta, Freddy",94.4,FF,4-Seam Fastball,15.5,6.9
2023,"Sears, JP",93.1,FF,4-Seam Fastball,14.7,11.2
2023,"Castillo, Luis",96.3,FF,4-Seam Fastball,13.6,12
2023,"Cease, Dylan",95.6,FF,4-Seam Fastball,18.8,3.2
2023,"Waldichuk, Ken",93.3,FF,4-Seam Fastball,15.2,10.2
2023,"Lynn, Lance",92.4,FF,4-Seam Fastball,13.5,3.2
2023,"Valdez, Framber",95.3,SI,Sinker,9.9,15.8
2023,"Wheeler, Zack",95.8,FF,4-Seam Fastball,15.3,6.3
2023,"Giolito, Lucas",93.1,FF,4-Seam Fastball,18.1,5.5
2023,"Webb, Logan",87.5,CH,Changeup,-4.4,11.3
2023,"Verlander, Justin",94.3,FF,4-Seam Fastball,18.8,8
2023,"Singer, Brady",92.1,SI,Sinker,9.4,13.1
2023,"Nelson, Ryne",94.4,FF,4-Seam Fastball,18.1,4.1
2023,"Kikuchi, Yusei",95.1,FF,4-Seam Fastball,16.1,9.8
2023,"Cease, Dylan",86.3,SL,Slider,1.9,2.5
2023,"Brown, Hunter",95.7,FF,4-Seam Fastball,16.9,6.1
2023,"Montgomery, Jordan",93.3,SI,Sinker,10.5,15.4
2023,"Megill, Tylor",94.9,FF,4-Seam Fastball,14.7,7.7
2023,"Luzardo, Jesús",96.7,FF,4-Seam Fastball,14.1,13.9
2023,"Bassitt, Chris",91.9,SI,Sinker,8.7,15.9
2023,"Ashcraft, Graham",95.8,FC,Cutter,6.8,2.1
2023,"Morton, Charlie",82.3,CU,Curveball,-7.8,13.6
2023,"Gilbert, Logan",95.7,FF,4-Seam Fastball,17,6.1
