year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name
2021,"Ray, Robbie",94.8,FF,4-Seam Fastball
2021,"Manaea, Sean",92.1,SI,Sinker
2021,"Mahle, Tyler",94,FF,4-Seam Fastball
2021,"Gausman, Kevin",94.6,FF,4-Seam Fastball
2021,"Happ, J.A.",91,FF,4-Seam Fastball
2021,"Pivetta, Nick",94.8,FF,4-Seam Fastball
2021,"Buehler, Walker",95.3,FF,4-Seam Fastball
2021,"Cole, Gerrit",97.7,FF,4-Seam Fastball
2021,"Cease, Dylan",96.6,FF,4-Seam Fastball
2021,"Wheeler, Zack",97.2,FF,4-Seam Fastball
2021,"Burnes, Corbin",95.2,FC,Cutter
2021,"Urías, Julio",94.1,FF,4-Seam Fastball
2021,"Heaney, Andrew",92,FF,4-Seam Fastball
2021,"Davies, Zach",88,SI,Sinker
2021,"Matz, Steven",94.5,SI,Sinker
2021,"Singer, Brady",93.7,SI,Sinker
2021,"Scherzer, Max",94.3,FF,4-Seam Fastball
2021,"Senzatela, Antonio",94.6,FF,4-Seam Fastball
2021,"Gilbert, Logan",95.3,FF,4-Seam Fastball
2021,"Giolito, Lucas",93.8,FF,4-Seam Fastball
2021,"Rodón, Carlos",95.4,FF,4-Seam Fastball
2021,"Houser, Adrian",93.6,SI,Sinker
2021,"Márquez, Germán",94.8,FF,4-Seam Fastball
2021,"Rogers, Trevor",94.5,FF,4-Seam Fastball
2021,"Eovaldi, Nathan",96.8,FF,4-Seam Fastball
2021,"Richards, Garrett",94.3,FF,4-Seam Fastball
2021,"Snell, Blake",95.1,FF,4-Seam Fastball
2021,"Peralta, Freddy",93.4,FF,4-Seam Fastball
2021,"McKenzie, Triston",92.1,FF,4-Seam Fastball
2021,"Miley, Wade",85.4,FC,Cutter
2021,"Hendricks, Kyle",87.3,SI,Sinker
2021,"Gray, Jon",94.9,FF,4-Seam Fastball
2021,"Hill, Rich",88.1,FF,4-Seam Fastball
2021,"Taillon, Jameson",93.9,FF,4-Seam Fastball
2021,"Lyles, Jordan",93,FF,4-Seam Fastball
2021,"Gonzales, Marco",88.4,FF,4-Seam Fastball
2021,"Stroman, Marcus",91.9,SI,Sinker
2021,"Paddack, Chris",94.8,FF,4-Seam Fastball
2021,"Bubic, Kris",90.9,FF,4-Seam Fastball
2021,"Gallen, Zac",93.4,FF,4-Seam Fastball
2021,"Flexen, Chris",92.8,FF,4-Seam Fastball
2021,"Minor, Mike",90.9,FF,4-Seam Fastball
2021,"Garcia, Luis",93.3,FF,4-Seam Fastball
2021,"Means, John",92.8,FF,4-Seam Fastball
2021,"Nola, Aaron",92.9,FF,4-Seam Fastball
2021,"Morton, Charlie",80.6,CU,Curveball
2021,"Skubal, Tarik",94.3,FF,4-Seam Fastball
2021,"Irvin, Cole",90.8,FF,4-Seam Fastball
2021,"Valdez, Framber",92.5,SI,Sinker
2021,"Rodriguez, Eduardo",92.5,FF,4-Seam Fastball
2021,"Morton, Charlie",95.5,FF,4-Seam Fastball
2021,"Kaprielian, James",93,FF,4-Seam Fastball
2021,"Javier, Cristian",93.5,FF,4-Seam Fastball
2021,"Gausman, Kevin",83.6,FS,Split-Finger
