year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name,pitcher_break_z_induced,pitcher_break_x
2018,"Zimmermann, Jordan",80.4,CU,Curveball,-6.2,5.2
2018,"Suárez, Andrew",76.8,CU,Curveball,-8.6,8.7
2018,"Hardy, Blaine",79.6,CH,Changeup,11.1,16.4
2018,"Lorenzen, Michael",90.9,FC,Cutter,6.8,2.4
2018,"Tropeano, Nick",90.6,FF,4-Seam Fastball,16.1,13.6
2018,"Bailey, Homer",87.4,SL,Slider,6,1.9
2018,"Sipp, Tony",91.8,FF,4-Seam Fastball,17.5,7.8
2018,"Velázquez, Hector",85.4,CH,Changeup,3.3,8.6
2018,"Brault, Steven",92,SI,Sinker,6.3,15.3
2018,"Glasnow, Tyler",82.1,CU,Curveball,-14,7.2
2018,"Koch, Matt",89.6,FC,Cutter,9,0.2
2018,"Winkler, Dan",93.2,FF,4-Seam Fastball,15.1,5.8
2018,"López, Pablo",92.6,FF,4-Seam Fastball,12.5,7.4
2018,"Rosario, Randy",93.5,FF,4-Seam Fastball,10.3,8.5
2018,"Anderson, Chase",91.9,SI,Sinker,13.6,14.8
2018,"Peacock, Brad",92.4,SI,Sinker,8.5,17.9
2018,"Devenski, Chris",94.2,FF,4-Seam Fastball,15.3,12.8
2018,"Williams, Taylor",85.6,SL,Slider,-0.3,2.9
2018,"Hellickson, Jeremy",76.5,CU,Curveball,-13.7,8.5
2018,"Sewald, Paul",81.3,SL,Slider,2.7,8.3
2018,"Tepera, Ryan",94.8,FF,4-Seam Fastball,16.7,7.9
2018,"Davis, Wade",89.7,FC,Cutter,5.6,5.4
2018,"Goeddel, Erik",92.1,FF,4-Seam Fastball,16.5,5.2
2018,"Hunter, Tommy",95.7,SI,Sinker,11.8,13.3
2018,"Ramírez, Neil",85.9,SL,Slider,0.5,6
2018,"Wacha, Michael",86,CH,Changeup,10.6,11
2018,"Rogers, Taylor",78.4,CU,Curveball,-2.8,16.3
2018,"Martinez, Carlos",90.6,FC,Cutter,7.4,0.8
2018,"Kuhl, Chad",95.3,FF,4-Seam Fastball,15.9,11.4
2018,"Farmer, Buck",86.8,CH,Changeup,-0.5,16.7
2018,"Tomlin, Josh",87.9,FF,4-Seam Fastball,16,10.2
2018,"Velázquez, Hector",91.5,FF,4-Seam Fastball,15.2,7.8
2018,"Ramírez, Yefry",86,CH,Changeup,7,14.9
2018,"Fried, Max",93.1,FF,4-Seam Fastball,12.4,4.3
2018,"Buehler, Walker",87.1,SL,Slider,0.7,8.9
2018,"Tepera, Ryan",95,SI,Sinker,12.6,15.4
2018,"Miller, Andrew",82.8,SL,Slider,-2.2,10.8
2018,"Triggs, Andrew",89.4,SI,Sinker,1.7,15.4
2018,"Gant, John",93.2,FF,4-Seam Fastball,16.3,11.6
2018,"Barria, Jaime",82.6,CH,Changeup,10.9,10.9
2018,"Jackson, Edwin",86.2,SL,Slider,1.5,2.1
2018,"Stock, Robert",97.5,FF,4-Seam Fastball,11.8,11.3
2018,"Hughes, Phil",90.6,FF,4-Seam Fastball,14.6,9.3
2018,"Stewart, Kohl",92.2,SI,Sinker,5.7,13.3
2018,"Giles, Ken",86.7,SL,Slider,2.7,0.4
2018,"Romero, Fernando",95.3,SI,Sinker,5.8,16.6
2018,"Skoglund, Eric",91.3,SI,Sinker,10.6,15.2
2018,"Blevins, Jerry",72.1,CU,Curveball,-7.6,14.4
2018,"Roe, Chaz",92.3,SI,Sinker,7.5,14.3
2018,"Stratton, Chris",83.5,SL,Slider,-1.7,5.4
2018,"Suárez, Andrew",92,SI,Sinker,12.4,13.8
2018,"Fulmer, Michael",88,CH,Changeup,3.7,12.7
2018,"Smith, Burch",78,CU,Curveball,-12.4,11.7
2018,"Leake, Mike",80.2,SL,Slider,-1.1,8.5
2018,"Kela, Keone",83.1,CU,Curveball,-6.5,2.2
2018,"Rodríguez, Dereck",84.3,CH,Changeup,10,15.2
2018,"Pressly, Ryan",83,CU,Curveball,-11.9,17
2018,"Peacock, Brad",93,FF,4-Seam Fastball,15.1,11.8
2018,"Pagán, Emilio",85,FC,Cutter,1.3,4.2
2018,"Mengden, Daniel",82.9,SL,Slider,-2,5.1
2018,"Foltynewicz, Mike",80,CU,Curveball,-4.4,4.8
2018,"Musgrove, Joe",84,SL,Slider,-1.8,6.3
2018,"Smith, Will",81.1,SL,Slider,0.8,9.7
2018,"Maton, Phil",78.2,CU,Curveball,-4.9,17.4
2018,"Leake, Mike",78.4,CU,Curveball,-6.3,15.8
2018,"Weaver, Luke",80.8,CU,Curveball,-4.3,8.7
2018,"Wheeler, Zack",79.3,CU,Curveball,-11,8
2018,"Iglesias, Raisel",84.9,SL,Slider,1.1,8
2018,"Devenski, Chris",83,CH,Changeup,2.7,15.6
2018,"Gonsalves, Stephen",89.8,FF,4-Seam Fastball,17.1,2.2
2018,"Giolito, Lucas",78.6,CU,Curveball,-13.6,8.3
2018,"Chirinos, Yonny",87.6,SL,Slider,6.5,1.9
2018,"Ryu, Hyun Jin",87.2,FC,Cutter,8.4,1.1
2018,"Guerra, Javy",93.3,FF,4-Seam Fastball,18.8,4.3
2018,"García, Luis",84.8,SL,Slider,0.3,8.6
2018,"Nova, Iván",86.5,CH,Changeup,6.7,16.8
2018,"Albers, Matt",91.5,SI,Sinker,6.1,17.4
2018,"Boxberger, Brad",79.6,CH,Changeup,4.1,13.7
2018,"Jeffress, Jeremy",95.5,FF,4-Seam Fastball,15.2,6.5
2018,"Maeda, Kenta",84.4,FS,Split-Finger,5,12.7
2018,"Anderson, Brett",82,SL,Slider,-8.6,3.1
2018,"Cessa, Luis",83.7,SL,Slider,-1.3,2
2018,"Romero, Fernando",95.5,FF,4-Seam Fastball,12.1,9.7
2018,"Jackson, Luke",86.7,SL,Slider,-4.4,0.3
