year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name
2024,"Freeland, Kyle",91.6,FF,4-Seam Fastball
2024,"Gilbert, Logan",83.2,CU,Curveball
2024,"Eovaldi, Nathan",76.7,CU,Curveball
2024,"Roupp, Landen",94.4,SI,Sinker
2024,"Duran, Jhoan",100.5,FF,4-Seam Fastball
2024,"Romero, JoJo",94,SI,Sinker
2024,"Waldron, Matt",90,SI,Sinker
2024,"Miller, Mason",87.5,SL,Slider
2024,"Fulmer, Carson",92.6,SI,Sinker
2024,"Santana, Dennis",87.1,SL,Slider
2024,"Herrin, Tim",81.6,CU,Curveball
2024,"Sandoval, Patrick",87.8,SL,Slider
2024,"Baumann, Mike",87.8,CU,Curveball
2024,"Musgrove, Joe",81.6,CU,Curveball
2024,"Rogers, Tyler",73.6,SL,Slider
2024,"Yamamoto, Yoshinobu",90.2,FS,Split-Finger
2024,"Marsh, Alec",82.8,CU,Curveball
2024,"Faedo, Alex",94,FF,4-Seam Fastball
2024,"Phillips, Evan",85,ST,Sweeper
2024,"Feltner, Ryan",94.2,SI,Sinker
2024,"Vesia, Alex",85,SL,Slider
2024,"Ragans, Cole",90.8,FC,Cutter
2024,"Gallen, Zac",86.6,CH,Changeup
2024,"Keller, Mitch",90.4,FC,Cutter
2024,"Hall, DL",93.3,FF,4-Seam Fastball
2024,"Manaea, Sean",85.3,CH,Changeup
2024,"Wrobleski, Justin",95.1,FF,4-Seam Fastball
2024,"Rodríguez, Randy",84.7,SL,Slider
2024,"Festa, David",86.1,SL,Slider
2024,"Kuhl, Chad",86.9,SL,Slider
2024,"Sandlin, Nick",79.4,SL,Slider
2024,"Wood, Alex",90.5,SI,Sinker
2024,"Jarvis, Bryce",95.7,FF,4-Seam Fastball
2024,"Nardi, Andrew",82.9,SL,Slider
2024,"Cantillo, Joey",92.2,FF,4-Seam Fastball
2024,"McKenzie, Triston",77.7,CU,Curveball
2024,"Verlander, Justin",77.6,CU,Curveball
2024,"Gray, Sonny",79.9,CU,Curveball
2024,"Mlodzinski, Carmen",96.2,FF,4-Seam Fastball
2024,"Burr, Ryan",85.4,SL,Slider
2024,"Thornton, Trent",81.8,ST,Sweeper
2024,"Peterson, David",85.1,SL,Slider
2024,"Armstrong, Shawn",90.5,FC,Cutter
2024,"Anderson, Chase",88.8,FC,Cutter
2024,"Ruiz, José",86.2,CU,Curveball
2024,"Leiter, Jack",96.4,FF,4-Seam Fastball
2024,"Quantrill, Cal",87.7,FC,Cutter
2024,"Pagán, Emilio",94.6,FF,4-Seam Fastball
2024,"Winn, Keaton",88.9,FS,Split-Finger
2024,"Flexen, Chris",72,CU,Curveball
2024,"Sands, Cole",90.8,FC,Cutter
2024,"Weissert, Greg",93.7,SI,Sinker
2024,"Ryan, Joe",81.3,ST,Sweeper
2024,"Hancock, Emerson",93.4,FF,4-Seam Fastball
2024,"Irvin, Cole",91.6,SI,Sinker
2024,"Lynn, Lance",91.1,SI,Sinker
2024,"Yamamoto, Yoshinobu",78,CU,Curveball
2024,"Junis, Jakob",91.9,SI,Sinker
2024,"Ottavino, Adam",92.1,SI,Sinker
2024,"Falter, Bailey",92,SI,Sinker
2024,"Milner, Hoby",79.5,ST,Sweeper
2024,"Muñoz, Roddery",94.9,SI,Sinker
2024,"Hamilton, Ian",88.5,SL,Slider
2024,"Tinoco, Jesus",86.6,SL,Slider
2024,"Phillips, Evan",96.2,FF,4-Seam Fastball
2024,"Leasure, Jordan",96.1,FF,4-Seam Fastball
2024,"Fulmer, Carson",93.1,FF,4-Seam Fastball
2024,"Pallante, Andre",87.5,SL,Slider
2024,"Freeland, Kyle",83.5,CU,Curveball
2024,"Sands, Cole",95.7,FF,4-Seam Fastball
2024,"Milner, Hoby",88.5,SI,Sinker
2024,"Nastrini, Nick",93.7,FF,4-Seam Fastball
2024,"Montgomery, Jordan",92.1,FF,4-Seam Fastball
2024,"Swanson, Erik",93.9,FF,4-Seam Fastball
2024,"Holmes, Grant",86.5,SL,Slider
2024,"Burnes, Corbin",89.2,CH,Changeup
2024,"Pérez, Cionel",96.1,SI,Sinker
2024,"Boyle, Joe",88,SL,Slider
2024,"Green, Chad",87.7,SL,Slider
2024,"Voth, Austin",89,FC,Cutter
2024,"Young, Danny",91.4,SI,Sinker
2024,"Mikolas, Miles",76.3,CU,Curveball
2024,"Kolek, Stephen",95.2,SI,Sinker
2024,"Faucher, Calvin",96,FF,4-Seam Fastball
2024,"Lugo, Seth",78.8,SV,Slurve
2024,"Singer, Brady",91.7,FF,4-Seam Fastball
2024,"Jax, Griffin",97.1,FF,4-Seam Fastball
2024,"Hurter, Brant",92.4,SI,Sinker
2024,"Falter, Bailey",77.7,CU,Curveball
2024,"Kikuchi, Yusei",86.8,CH,Changeup
2024,"Mize, Casey",86.2,FS,Split-Finger
2024,"Musgrove, Joe",89.7,FC,Cutter
2024,"Robertson, David",84.2,CU,Curveball
2024,"Ragans, Cole",80.8,CU,Curveball
2024,"Pérez, Cionel",83.1,SV,Slurve
2024,"McArthur, James",95.1,SI,Sinker
2024,"Soto, Gregory",86.2,SL,Slider
2024,"Kremer, Dean",92.2,SI,Sinker
2024,"Turnbull, Spencer",92,FF,4-Seam Fastball
2024,"McFarland, T.J.",78.2,ST,Sweeper
2024,"Gilbert, Logan",92.3,FC,Cutter
2024,"Bradford, Cody",80.9,CH,Changeup
2024,"Pressly, Ryan",93.8,FF,4-Seam Fastball
2024,"Hader, Josh",85.5,SL,Slider
2024,"Ureña, José",88.7,CH,Changeup
2024,"Wilson, Steven",82.3,ST,Sweeper
2024,"Tate, Dillon",92.6,SI,Sinker
2024,"Ober, Bailey",80.3,ST,Sweeper
2024,"Dunning, Dane",88.1,FC,Cutter
2024,"Stone, Gavin",88.8,SL,Slider
2024,"Schwellenbach, Spencer",92.9,FC,Cutter
2024,"Walker, Taijuan",86.7,FS,Split-Finger
2024,"Morejon, Adrian",86,SL,Slider
2024,"Wheeler, Zack",81.8,CU,Curveball
2024,"Musgrove, Joe",82.1,ST,Sweeper
2024,"Kerkering, Orion",97.6,FF,4-Seam Fastball
2024,"Luzardo, Jesús",83.5,SL,Slider
2024,"Curry, Xzavion",92.1,FF,4-Seam Fastball
2024,"Ferguson, Tyler",95.9,FF,4-Seam Fastball
2024,"Pfaadt, Brandon",87.5,CH,Changeup
2024,"Chapman, Aroldis",99.8,SI,Sinker
2024,"Allen, Logan",78.6,ST,Sweeper
2024,"Anderson, Justin",96,FF,4-Seam Fastball
2024,"Alexander, Tyler",77.8,ST,Sweeper
2024,"Fairbanks, Pete",85,SL,Slider
2024,"Romero, JoJo",84,SL,Slider
2024,"Quantrill, Cal",79.4,CU,Curveball
2024,"Avila, Pedro",83.4,CH,Changeup
2024,"Snell, Blake",85.5,CH,Changeup
2024,"Maton, Phil",74.7,CU,Curveball
2024,"Montero, Rafael",95.4,FF,4-Seam Fastball
2024,"Pérez, Martín",77.9,CU,Curveball
2024,"Anderson, Chase",83.9,CH,Changeup
2024,"Soroka, Michael",92.3,SI,Sinker
2024,"Festa, David",88.4,CH,Changeup
2024,"Leahy, Kyle",95.5,FF,4-Seam Fastball
2024,"Muñoz, Roddery",89.9,FC,Cutter
2024,"Muñoz, Andrés",98.4,FF,4-Seam Fastball
2024,"Matthews, Zebby",94.9,FF,4-Seam Fastball
2024,"Nola, Aaron",85.7,CH,Changeup
2024,"Sears, JP",90,SI,Sinker
2024,"Peterson, David",84.7,CH,Changeup
2024,"Morton, Charlie",85,CH,Changeup
2024,"Canning, Griffin",80.5,CU,Curveball
2024,"Cecconi, Slade",85.1,SL,Slider
2024,"Slaten, Justin",91.5,FC,Cutter
2024,"Lodolo, Nick",88.1,CH,Changeup
2024,"Ramírez, Yohan",94.4,SI,Sinker
2024,"Brieske, Beau",88.4,CH,Changeup
2024,"Weathers, Ryan",82.7,ST,Sweeper
2024,"Verlander, Justin",86.7,SL,Slider
2024,"Santillan, Tony",97.2,FF,4-Seam Fastball
2024,"Weaver, Luke",91.3,FC,Cutter
2024,"Beeks, Jalen",88.9,CH,Changeup
2024,"McArthur, James",83.7,CU,Curveball
2024,"Turnbull, Spencer",83.8,ST,Sweeper
2024,"Schmidt, Clarke",94.3,SI,Sinker
2024,"Bird, Jake",95.4,SI,Sinker
2024,"Hernández, Carlos",97.9,FF,4-Seam Fastball
2024,"Brown, Ben",86.5,CU,Curveball
2024,"Allen, Logan",81.7,CH,Changeup
2024,"Bernardino, Brennan",78.9,CU,Curveball
2024,"Gordon, Tanner",92.1,FF,4-Seam Fastball
2024,"Honeywell, Brent",94.8,FF,4-Seam Fastball
2024,"Muñoz, Roddery",85.8,SL,Slider
2024,"Wheeler, Zack",91.1,FC,Cutter
2024,"Armstrong, Shawn",93.6,SI,Sinker
2024,"Ray, Robbie",94.1,FF,4-Seam Fastball
2024,"Smith, Will",80.6,SL,Slider
2024,"Kirby, George",86,FS,Split-Finger
2024,"Weissert, Greg",79.8,ST,Sweeper
2024,"Chapman, Aroldis",87,SL,Slider
2024,"Sandlin, Nick",92.6,FF,4-Seam Fastball
2024,"Medina, Luis",95.9,FF,4-Seam Fastball
2024,"Martin, Chris",91.9,FC,Cutter
2024,"Diekman, Jake",94.7,FF,4-Seam Fastball
2024,"Marsh, Alec",93.6,SI,Sinker
2024,"Spence, Mitch",80.4,CU,Curveball
2024,"Oller, Adam",93.8,FF,4-Seam Fastball
2024,"Vieira, Thyago",97.1,SI,Sinker
2024,"Rodriguez, Grayson",86.5,SL,Slider
2024,"López, Pablo",82.4,CU,Curveball
2024,"Wacha, Michael",88.8,FC,Cutter
2024,"Stroman, Marcus",83.3,FS,Split-Finger
2024,"Garcia, Robert",87.7,CH,Changeup
2024,"Nola, Aaron",87.5,FC,Cutter
2024,"Payamps, Joel",94.8,FF,4-Seam Fastball
2024,"Assad, Javier",76.8,CU,Curveball
2024,"Scherzer, Max",92.5,FF,4-Seam Fastball
2024,"Erceg, Lucas",98.6,FF,4-Seam Fastball
2024,"Suárez, Albert",79,CU,Curveball
2024,"Darvish, Yu",85.9,SL,Slider
2024,"Holton, Tyler",91.6,SI,Sinker
2024,"Santana, Dennis",95.8,FF,4-Seam Fastball
2024,"Hancock, Emerson",93.2,SI,Sinker
2024,"Rodriguez, Grayson",81.3,CU,Curveball
2024,"López, Jorge",95.5,SI,Sinker
2024,"Jackson, Luke",94.7,FF,4-Seam Fastball
2024,"Leiter Jr., Mark",91.5,SI,Sinker
2024,"Burke, Brock",95.8,FF,4-Seam Fastball
2024,"Carrasco, Carlos",91,SI,Sinker
2024,"Kelly, Kevin",77.3,ST,Sweeper
2024,"Cruz, Fernando",88.7,FC,Cutter
2024,"McGough, Scott",93.1,FF,4-Seam Fastball
2024,"Kelly, Merrill",90.3,FC,Cutter
2024,"Lugo, Seth",86.7,SL,Slider
2024,"Cole, Gerrit",82.5,CU,Curveball
2024,"Finnegan, Kyle",88.5,FS,Split-Finger
2024,"Kelly, Zack",96.5,FF,4-Seam Fastball
2024,"Adam, Jason",89.5,CH,Changeup
2024,"Booser, Cam",95.3,FF,4-Seam Fastball
2024,"Funderburk, Kody",92.1,FC,Cutter
2024,"Francis, Bowden",83.8,FS,Split-Finger
2024,"Iglesias, Raisel",89.5,CH,Changeup
2024,"Foley, Jason",88.5,SL,Slider
2024,"Scott, Tayler",85.5,FS,Split-Finger
2024,"Hernández, Jonathan",96.8,SI,Sinker
