year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name,pitcher_break_z_induced,pitcher_break_x
2024,"Bednar, David",92,FS,Split-Finger,4.8,7.2
2024,"Farmer, Buck",86.8,CH,Changeup,-0.5,14.9
2024,"Myers, Tobias",81.1,CH,Changeup,12.5,11.7
2024,"Priester, Quinn",93.1,SI,Sinker,5.3,14.4
2024,"Salazar, Eduardo",94.4,SI,Sinker,5.2,16.3
2024,"Daniel, Davis",91.5,FF,4-Seam Fastball,16.9,7.4
2024,"Suarez, José",82.9,CH,Changeup,4.1,14.1
2024,"Wilson, Bryse",93.6,FF,4-Seam Fastball,15.4,5.2
2024,"Pallante, Andre",79.5,CU,Curveball,-15.6,4.2
2024,"Duran, Jhoan",86.1,CU,Curveball,-9.5,6.2
2024,"López, Reynaldo",77,CU,Curveball,-7.8,7
2024,"Otañez, Michel",98,FF,4-Seam Fastball,16.6,9.8
2024,"Allen, Logan",85.3,FC,Cutter,5.8,4.8
2024,"Cole, Gerrit",91.4,FC,Cutter,8.9,3.3
2024,"Tonkin, Michael",92.5,SI,Sinker,3,18.8
2024,"Kirby, George",83.3,CU,Curveball,-14.1,8.6
2024,"Walker, Taijuan",85.1,ST,Sweeper,8.5,5.4
2024,"Crawford, Kutter",82.4,FS,Split-Finger,8.8,7.1
2024,"Schwellenbach, Spencer",84.5,FS,Split-Finger,0.6,9.2
2024,"Jarvis, Bryce",86.4,SL,Slider,-0.8,6.8
2024,"Hodge, Porter",83,ST,Sweeper,-0.7,16.7
2024,"Pressly, Ryan",82.4,CU,Curveball,-11.3,15.6
2024,"Smith, Cade",88.5,FS,Split-Finger,1.2,10.1
2024,"Maton, Phil",80.9,ST,Sweeper,5.5,17.4
2024,"Sears, JP",79.3,SL,Slider,8.2,6.2
2024,"Schreiber, John",81.1,ST,Sweeper,0,14.1
2024,"Gausman, Kevin",82.7,SL,Slider,3.8,1.3
2024,"Wacha, Michael",84.1,SL,Slider,1.4,2.7
2024,"Fulmer, Carson",88,SL,Slider,5.3,4.2
2024,"Springs, Jeffrey",89.8,FF,4-Seam Fastball,16.7,9.4
2024,"Martin, Davis",83.6,SL,Slider,1.4,7.9
2024,"Kelly, Merrill",88.4,CH,Changeup,1,14.4
2024,"Stripling, Ross",82.7,CH,Changeup,11.4,9.2
2024,"Gibson, Kyle",78.3,CU,Curveball,-9.5,6.4
2024,"Henry, Tommy",89.8,FF,4-Seam Fastball,15.6,8.1
2024,"Nelson, Ryne",83,CH,Changeup,10.1,15.2
2024,"Moll, Sam",93.3,FF,4-Seam Fastball,11.3,10.4
2024,"Farmer, Buck",92.7,FF,4-Seam Fastball,14.1,11.7
2024,"Wood, Alex",81.4,SL,Slider,-2.8,9.8
2024,"Estrada, Jeremiah",89.8,SL,Slider,5.4,5
2024,"Irvin, Cole",84.9,CH,Changeup,7.8,13.9
2024,"Slaten, Justin",96.4,FF,4-Seam Fastball,19.1,5.4
2024,"King, John",84.4,CH,Changeup,3.4,15.6
2024,"Parker, Mitchell",84.5,SL,Slider,3.4,5.7
2024,"Blackburn, Paul",91.9,FF,4-Seam Fastball,16.7,5.2
2024,"Ruiz, José",96.4,FF,4-Seam Fastball,17.5,5.9
2024,"Hudson, Dakota",90,FF,4-Seam Fastball,8,5.6
2024,"Molina, Anthony",85.3,CH,Changeup,7.8,13.3
2024,"Severino, Luis",92.6,FC,Cutter,7.9,1.3
2024,"Yarbrough, Ryan",77.4,CH,Changeup,2.4,16
2024,"Wentz, Joey",85.7,CH,Changeup,10.6,14
2024,"Miller, Bryce",82.4,ST,Sweeper,-5.3,14.8
2024,"Kelly, Merrill",91.9,FF,4-Seam Fastball,14.4,8.4
2024,"Rea, Colin",86.5,FS,Split-Finger,4,13.8
2024,"Molina, Anthony",88.7,SL,Slider,7.4,2.9
2024,"Crochet, Garrett",84.2,ST,Sweeper,-0.4,14.3
2024,"Morgan, Eli",86.8,SL,Slider,2.6,3.2
2024,"Schreiber, John",92,SI,Sinker,-1.9,16.4
2024,"Vásquez, Randy",90.3,FC,Cutter,9,2.8
2024,"Mears, Nick",86.5,SL,Slider,-1.9,1.7
2024,"Garrett, Reed",91.6,FC,Cutter,7.2,3.4
2024,"Domínguez, Seranthony",89.6,SL,Slider,5.2,4.6
2024,"Thorpe, Drew",91,FF,4-Seam Fastball,16.8,4.8
2024,"Darvish, Yu",94.1,FF,4-Seam Fastball,16.9,7.4
2024,"Cole, Gerrit",88.3,SL,Slider,1.4,5.5
2024,"Eflin, Zach",79.7,ST,Sweeper,2.7,13.2
2024,"García, Yimi",96.5,FF,4-Seam Fastball,14.9,10.5
2024,"Voth, Austin",93.6,FF,4-Seam Fastball,16.7,5.2
2024,"López, Pablo",94.5,SI,Sinker,8.5,13.8
2024,"Estévez, Carlos",89.4,SL,Slider,2.9,5.5
